costo_id,reserva_id,comision_artista_clp,insumos_clp,marketing_atribuido_clp,costo_fijo_estimado_clp,costo_total_clp,ganancia_estimada_clp
COST-0237,BOOK-0237,104000,53000,0,29500,186500,43500
COST-0239,BOOK-0239,39000,16000,1500,8000,64500,10500
COST-0240,BOOK-0240,41000,32500,1500,19500,94500,-4500
COST-0242,BOOK-0242,154000,44500,1500,32500,232500,47500
COST-0245,BOOK-0245,149000,45000,0,29500,223500,46500
COST-0249,BOOK-0249,176000,52000,1000,29500,258500,61500
COST-0250,BOOK-0250,127000,51500,1500,39000,219000,46000
COST-0251,BOOK-0251,86000,30000,1500,19500,137000,28000
COST-0257,BOOK-0257,36000,18000,2500,8000,64500,5500
COST-0258,BOOK-0258,31000,19000,500,8000,58500,1500
COST-0259,BOOK-0259,79000,45000,1500,29500,155000,20000
COST-0260,BOOK-0260,36000,14500,0,6500,57000,8000
COST-0261,BOOK-0261,55000,28500,1000,14500,99000,16000
COST-0262,BOOK-0262,19000,19000,1000,8000,47000,-7000
COST-0263,BOOK-0263,43000,23000,1000,11500,78500,11500
COST-0266,BOOK-0266,85000,35000,2500,23000,145500,24500
COST-0268,BOOK-0268,35000,14500,1500,6500,57500,12500
COST-0269,BOOK-0269,43000,22000,500,11500,77000,13000
COST-0270,BOOK-0270,38000,24500,1500,11500,75500,9500
COST-0273,BOOK-0273,26000,17500,0,8000,51500,-1500
COST-0275,BOOK-0275,142000,53500,2500,36000,234000,81000
COST-0276,BOOK-0276,102000,40000,1500,23000,166500,18500
COST-0279,BOOK-0279,22000,17500,2500,8000,50000,-5000
COST-0281,BOOK-0281,98000,57500,1000,36000,192500,12500
COST-0282,BOOK-0282,124000,37000,500,23000,184500,40500
COST-0286,BOOK-0286,99000,32500,0,23000,154500,35500
COST-0287,BOOK-0287,52000,35000,2500,19500,109000,6000
COST-0288,BOOK-0288,94000,41500,1000,29500,166000,29000
COST-0289,BOOK-0289,41000,29000,0,14500,84500,5500
COST-0290,BOOK-0290,149000,33500,2500,23000,208000,62000
COST-0296,BOOK-0296,229000,64000,2500,39000,334500,105500
COST-0300,BOOK-0300,43000,19500,500,11500,74500,10500
COST-0301,BOOK-0301,68000,27000,2500,14500,112000,18000
COST-0316,BOOK-0316,19000,13500,2500,6500,41500,-1500
COST-0318,BOOK-0318,177000,42000,1500,29500,250000,90000
COST-0319,BOOK-0319,41000,22500,0,14500,78000,12000
COST-0324,BOOK-0324,106000,59000,0,36000,201000,34000
COST-0327,BOOK-0327,81000,45000,2500,29500,158000,22000
COST-0330,BOOK-0330,62000,34500,1000,19500,117000,13000
COST-0331,BOOK-0331,41000,21500,2500,11500,76500,8500
COST-0335,BOOK-0335,60000,34000,1500,19500,115000,10000
COST-0337,BOOK-0337,122000,45500,500,32500,200500,69500
COST-0339,BOOK-0339,140000,56500,0,39000,235500,44500
COST-0340,BOOK-0340,164000,56500,1500,36000,258000,57000
COST-0344,BOOK-0344,61000,20500,2500,11500,95500,14500
COST-0345,BOOK-0345,20000,12500,0,5000,37500,2500
COST-0354,BOOK-0354,43000,19000,1500,11500,75000,15000
COST-0355,BOOK-0355,99000,50000,1000,36000,186000,34000
COST-0356,BOOK-0356,41000,23500,0,11500,76000,14000
COST-0362,BOOK-0362,94000,30000,0,14500,138500,41500
COST-0365,BOOK-0365,20000,16500,1500,6500,44500,-4500
COST-0369,BOOK-0369,70000,35500,2500,19500,127500,7500
COST-0375,BOOK-0375,20000,15000,1000,6500,42500,2500
COST-0380,BOOK-0380,140000,54000,2500,32500,229000,51000
COST-0382,BOOK-0382,43000,24500,1500,11500,80500,9500
COST-0383,BOOK-0383,117000,46000,2500,29500,195000,30000
COST-0385,BOOK-0385,34000,15500,0,8000,57500,12500
COST-0386,BOOK-0386,20000,16000,1500,6500,44000,-4000
COST-0389,BOOK-0389,95000,35000,500,23000,153500,36500
COST-0390,BOOK-0390,155000,42500,500,32500,230500,79500
COST-0392,BOOK-0392,24000,17000,500,8000,49500,500
COST-0401,BOOK-0401,43000,26000,1500,14500,85000,10000
COST-0402,BOOK-0402,18000,14000,0,6500,38500,1500
COST-0403,BOOK-0403,43000,19500,0,11500,74000,16000
COST-0404,BOOK-0404,110000,48000,1000,29500,188500,31500
COST-0410,BOOK-0410,81000,23500,0,14500,119000,36000
COST-0414,BOOK-0414,28000,12500,1500,5000,47000,3000
COST-0416,BOOK-0416,35000,19000,0,8000,62000,8000
COST-0417,BOOK-0417,48000,30000,500,19500,98000,2000
COST-0421,BOOK-0421,29000,16500,500,8000,54000,1000
COST-0422,BOOK-0422,173000,45500,1000,36000,255500,89500
COST-0423,BOOK-0423,40000,16000,2500,8000,66500,13500
COST-0425,BOOK-0425,149000,50000,2500,29500,231000,39000
COST-0426,BOOK-0426,68000,29000,1000,19500,117500,17500
COST-0427,BOOK-0427,68000,19000,0,11500,98500,31500
COST-0429,BOOK-0429,23000,14500,1000,6500,45000,0
COST-0430,BOOK-0430,47000,16500,2500,6500,72500,12500
COST-0432,BOOK-0432,63000,22500,2500,11500,99500,15500
COST-0433,BOOK-0433,36000,15000,1000,6500,58500,11500
COST-0436,BOOK-0436,93000,31000,1500,19500,145000,40000
COST-0439,BOOK-0439,41000,23000,500,14500,79000,6000
COST-0441,BOOK-0441,42000,16500,0,8000,66500,13500
COST-0443,BOOK-0443,134000,58500,2500,36000,231000,49000
COST-0444,BOOK-0444,99000,34500,1500,19500,154500,25500
COST-0446,BOOK-0446,86000,47000,1000,36000,170000,20000
COST-0448,BOOK-0448,148000,46500,0,29500,224000,61000
COST-0450,BOOK-0450,41000,19000,1500,11500,73000,12000
COST-0454,BOOK-0454,18000,12000,500,5000,35500,4500
COST-0457,BOOK-0457,104000,55500,1000,36000,196500,33500
COST-0458,BOOK-0458,86000,59000,0,36000,181000,9000
COST-0460,BOOK-0460,143000,45500,1000,29500,219000,41000
COST-0461,BOOK-0461,86000,40500,1500,23000,151000,29000
COST-0462,BOOK-0462,36000,18000,0,8000,62000,18000
COST-0463,BOOK-0463,79000,39000,500,23000,141500,33500
COST-0464,BOOK-0464,77000,29500,1000,19500,127000,33000
COST-0467,BOOK-0467,25000,16500,500,8000,50000,0
COST-0474,BOOK-0474,18000,17000,1500,6500,43000,-3000
COST-0475,BOOK-0475,150000,53500,0,29500,233000,67000
COST-0476,BOOK-0476,81000,32500,2500,23000,139000,41000
COST-0480,BOOK-0480,22000,16000,1500,6500,46000,-1000
COST-0481,BOOK-0481,86000,51000,500,29500,167000,23000
COST-0482,BOOK-0482,44000,29000,1500,14500,89000,-4000
COST-0483,BOOK-0483,91000,27500,1000,19500,139000,36000
COST-0491,BOOK-0491,99000,33000,0,19500,151500,28500
COST-0496,BOOK-0496,145000,60000,500,36000,241500,48500
COST-0499,BOOK-0499,122000,50000,1500,32500,206000,49000
COST-0500,BOOK-0500,62000,29000,2500,19500,113000,17000
COST-0506,BOOK-0506,24000,16500,0,8000,48500,1500
COST-0507,BOOK-0507,66000,19500,2500,11500,99500,20500
COST-0508,BOOK-0508,83000,32500,500,19500,135500,29500
COST-0509,BOOK-0509,20000,13500,1500,5000,40000,0
COST-0512,BOOK-0512,142000,54500,1000,39000,236500,58500
COST-0516,BOOK-0516,78000,26500,500,14500,119500,30500
COST-0519,BOOK-0519,155000,52500,0,39000,246500,63500
COST-0522,BOOK-0522,31000,15500,2500,8000,57000,8000
COST-0524,BOOK-0524,89000,44500,1500,29500,164500,20500
COST-0526,BOOK-0526,176000,33500,2500,23000,235000,85000
COST-0527,BOOK-0527,20000,14000,0,5000,39000,1000
COST-0529,BOOK-0529,28000,16500,1500,6500,52500,2500
COST-0530,BOOK-0530,89000,32500,1500,23000,146000,39000
COST-0533,BOOK-0533,44000,23000,1000,11500,79500,500
COST-0534,BOOK-0534,83000,31000,0,19500,133500,31500
COST-0535,BOOK-0535,46000,23000,1000,14500,84500,10500
COST-0537,BOOK-0537,69000,21500,1500,11500,103500,21500
COST-0541,BOOK-0541,53000,27500,1000,14500,96000,14000
COST-0544,BOOK-0544,91000,46000,0,36000,173000,17000
COST-0545,BOOK-0545,65000,33000,500,19500,118000,17000
COST-0547,BOOK-0547,19000,14000,2500,5000,40500,-500
COST-0548,BOOK-0548,169000,56500,1000,39000,265500,59500
COST-0549,BOOK-0549,33000,16500,1000,6500,57000,3000
COST-0551,BOOK-0551,96000,35500,0,19500,151000,24000
COST-0552,BOOK-0552,41000,21000,2500,11500,76000,9000
COST-0560,BOOK-0560,198000,54500,0,39000,291500,103500
COST-0564,BOOK-0564,70000,28000,1500,14500,114000,21000
COST-0566,BOOK-0566,89000,47500,500,36000,173000,12000
COST-0571,BOOK-0571,33000,14000,2500,5000,54500,5500
COST-0572,BOOK-0572,159000,42000,1000,32500,234500,70500
COST-0573,BOOK-0573,19000,12500,2500,5000,39000,1000
COST-0574,BOOK-0574,58000,20500,1000,11500,91000,24000
COST-0578,BOOK-0578,94000,32000,1000,23000,150000,45000
COST-0581,BOOK-0581,33000,14500,1000,6500,55000,10000
COST-0585,BOOK-0585,63000,22000,500,11500,97000,18000
COST-0587,BOOK-0587,19000,13000,0,5000,37000,3000
COST-0588,BOOK-0588,82000,35500,500,23000,141000,29000
COST-0590,BOOK-0590,132000,46000,500,32500,211000,64000
COST-0592,BOOK-0592,20000,12500,1500,5000,39000,1000
COST-0599,BOOK-0599,113000,40000,1000,23000,177000,28000
COST-0602,BOOK-0602,55000,19000,1000,11500,86500,13500
COST-0603,BOOK-0603,63000,23000,500,11500,98000,17000
COST-0608,BOOK-0608,95000,39000,0,23000,157000,33000
COST-0609,BOOK-0609,43000,25500,2500,14500,85500,9500
COST-0613,BOOK-0613,23000,16000,0,8000,47000,-2000
COST-0615,BOOK-0615,41000,19000,1000,8000,69000,16000
COST-0616,BOOK-0616,146000,55000,2500,32500,236000,44000
COST-0618,BOOK-0618,20000,12500,1000,5000,38500,6500
COST-0621,BOOK-0621,96000,43000,1000,23000,163000,37000
COST-0622,BOOK-0622,60000,27500,2500,14500,104500,15500
COST-0623,BOOK-0623,58000,20500,1000,11500,91000,24000
COST-0624,BOOK-0624,130000,64000,1000,36000,231000,19000
COST-0627,BOOK-0627,45000,20000,500,11500,77000,13000
COST-0628,BOOK-0628,99000,48000,1000,29500,177500,12500
COST-0631,BOOK-0631,46000,23000,1000,14500,84500,10500
COST-0638,BOOK-0638,115000,55000,2500,36000,208500,31500
COST-0639,BOOK-0639,94000,39500,2500,23000,159000,36000
COST-0640,BOOK-0640,81000,42000,500,29500,153000,27000
COST-0641,BOOK-0641,151000,57500,0,36000,244500,45500
COST-0644,BOOK-0644,19000,14000,1500,5000,39500,500
COST-0650,BOOK-0650,44000,16000,1000,8000,69000,11000
COST-0651,BOOK-0651,104000,64000,0,36000,204000,26000
COST-0652,BOOK-0652,22000,18500,1500,8000,50000,-5000
COST-0658,BOOK-0658,29000,12000,1500,5000,47500,7500
COST-0660,BOOK-0660,41000,24000,500,11500,77000,8000
COST-0661,BOOK-0661,19000,13500,1000,5000,38500,1500
COST-0663,BOOK-0663,113000,50000,1000,29500,193500,41500
COST-0668,BOOK-0668,162000,49000,2500,36000,249500,45500
COST-0669,BOOK-0669,31000,15500,0,6500,53000,7000
COST-0670,BOOK-0670,19000,12000,2500,5000,38500,1500
COST-0672,BOOK-0672,18000,15500,2500,8000,44000,-4000
COST-0677,BOOK-0677,42000,17000,0,8000,67000,13000
COST-0679,BOOK-0679,95000,50000,0,29500,174500,15500
COST-0683,BOOK-0683,42000,15000,0,6500,63500,16500
COST-0691,BOOK-0691,22000,12000,500,5000,39500,500
COST-0693,BOOK-0693,43000,36500,0,19500,99000,-9000
COST-0695,BOOK-0695,19000,15500,2500,6500,43500,-3500
COST-0696,BOOK-0696,86000,35500,1500,19500,142500,22500
COST-0697,BOOK-0697,25000,12500,2500,5000,45000,0
COST-0698,BOOK-0698,161000,51500,0,29500,242000,68000
COST-0699,BOOK-0699,24000,16000,1000,8000,49000,1000
COST-0700,BOOK-0700,112000,32500,500,23000,168000,47000
COST-0704,BOOK-0704,138000,51000,0,29500,218500,46500
COST-0708,BOOK-0708,47000,20000,1000,11500,79500,10500
COST-0712,BOOK-0712,101000,40500,1000,29500,172000,38000
COST-0713,BOOK-0713,132000,48000,500,29500,210000,30000
COST-0715,BOOK-0715,29000,15500,1500,8000,54000,6000
COST-0716,BOOK-0716,29000,18000,1000,8000,56000,-1000
COST-0717,BOOK-0717,42000,16500,0,8000,66500,13500
COST-0722,BOOK-0722,41000,14000,2500,6500,64000,11000
COST-0724,BOOK-0724,40000,19500,1000,8000,68500,11500
COST-0728,BOOK-0728,120000,50500,0,36000,206500,43500
COST-0730,BOOK-0730,44000,17000,1000,6500,68500,11500
COST-0732,BOOK-0732,19000,17000,1500,8000,45500,-5500
COST-0735,BOOK-0735,106000,42500,2500,29500,180500,39500
COST-0737,BOOK-0737,84000,35500,1500,23000,144000,31000
COST-0739,BOOK-0739,143000,43500,0,29500,216000,44000
COST-0740,BOOK-0740,50000,30000,1500,19500,101000,9000
COST-0741,BOOK-0741,140000,50000,2500,32500,225000,45000
COST-0746,BOOK-0746,182000,46500,0,36000,264500,65500
COST-0749,BOOK-0749,58000,24000,1000,11500,94500,10500
COST-0751,BOOK-0751,68000,19000,0,11500,98500,36500
COST-0752,BOOK-0752,81000,51000,0,29500,161500,18500
COST-0758,BOOK-0758,20000,17000,1000,6500,44500,500
COST-0760,BOOK-0760,22000,13500,1500,6500,43500,1500
COST-0764,BOOK-0764,55000,25000,2500,11500,94000,11000
COST-0765,BOOK-0765,26000,12500,0,5000,43500,6500
COST-0767,BOOK-0767,22000,15000,1000,6500,44500,500
COST-0768,BOOK-0768,58000,20500,2500,11500,92500,12500
COST-0777,BOOK-0777,90000,62000,2500,36000,190500,9500
COST-0780,BOOK-0780,35000,16500,0,6500,58000,12000
COST-0782,BOOK-0782,148000,49500,0,36000,233500,51500
COST-0783,BOOK-0783,41000,23500,0,11500,76000,9000
COST-0784,BOOK-0784,99000,24000,2500,14500,140000,40000
COST-0785,BOOK-0785,43000,35000,1000,19500,98500,-3500
COST-0786,BOOK-0786,31000,17000,1500,6500,56000,4000
COST-0789,BOOK-0789,215000,66000,2500,39000,322500,107500
COST-0790,BOOK-0790,33000,15000,500,6500,55000,5000
COST-0795,BOOK-0795,88000,31500,1500,19500,140500,19500
COST-0797,BOOK-0797,38000,17500,2500,8000,66000,9000
COST-0798,BOOK-0798,46000,33500,500,19500,99500,-4500
COST-0803,BOOK-0803,73000,27000,1000,14500,115500,24500
COST-0807,BOOK-0807,20000,13000,1000,5000,39000,6000
COST-0808,BOOK-0808,34000,19000,0,8000,61000,4000
COST-0811,BOOK-0811,25000,16500,2500,6500,50500,-500
COST-0816,BOOK-0816,18000,13500,0,5000,36500,3500
COST-0817,BOOK-0817,70000,25500,2500,14500,112500,27500
COST-0820,BOOK-0820,19000,13500,1500,6500,40500,-500
COST-0824,BOOK-0824,19000,16000,1000,6500,42500,-2500
COST-0826,BOOK-0826,41000,26000,1000,14500,82500,7500
COST-0827,BOOK-0827,19000,13500,2500,5000,40000,0
COST-0832,BOOK-0832,18000,12000,1500,5000,36500,3500
COST-0836,BOOK-0836,25000,16000,500,6500,48000,2000
COST-0837,BOOK-0837,28000,13000,0,5000,46000,4000
COST-0846,BOOK-0846,74000,22500,0,11500,108000,27000
COST-0847,BOOK-0847,26000,16500,500,6500,49500,5500
COST-0851,BOOK-0851,83000,26000,0,14500,123500,41500
COST-0853,BOOK-0853,165000,57500,2500,36000,261000,69000
COST-0854,BOOK-0854,82000,33500,500,19500,135500,34500
COST-0856,BOOK-0856,94000,34000,500,19500,148000,22000
COST-0858,BOOK-0858,28000,13500,0,6500,48000,7000
COST-0860,BOOK-0860,55000,24000,500,14500,94000,11000
COST-0869,BOOK-0869,70000,31500,1500,19500,122500,22500
COST-0870,BOOK-0870,43000,20500,1000,11500,76000,14000
COST-0872,BOOK-0872,28000,12000,500,5000,45500,9500
COST-0873,BOOK-0873,84000,51000,2500,36000,173500,1500
COST-0874,BOOK-0874,26000,13500,500,5000,45000,5000
COST-0875,BOOK-0875,140000,61000,500,36000,237500,32500
COST-0881,BOOK-0881,45000,20000,1500,11500,78000,12000
COST-0882,BOOK-0882,94000,36000,0,23000,153000,42000
COST-0886,BOOK-0886,173000,63000,1500,36000,273500,71500
COST-0889,BOOK-0889,72000,22000,1500,11500,107000,23000
COST-0891,BOOK-0891,138000,58000,0,36000,232000,18000
COST-0892,BOOK-0892,33000,13500,0,5000,51500,8500
COST-0895,BOOK-0895,18000,12000,1500,5000,36500,3500
COST-0897,BOOK-0897,22000,14500,2500,6500,45500,-500
COST-0901,BOOK-0901,88000,36000,1500,23000,148500,26500
COST-0904,BOOK-0904,44000,19000,1500,11500,76000,9000
COST-0906,BOOK-0906,140000,53000,0,36000,229000,41000
COST-0908,BOOK-0908,215000,68000,500,39000,322500,67500
COST-0910,BOOK-0910,89000,36500,0,23000,148500,36500
COST-0911,BOOK-0911,157000,49000,0,29500,235500,49500
COST-0912,BOOK-0912,18000,13500,1000,5000,37500,2500
COST-0913,BOOK-0913,125000,43000,1000,32500,201500,58500
COST-0914,BOOK-0914,125000,54000,0,36000,215000,35000
COST-0916,BOOK-0916,46000,28000,500,14500,89000,6000
COST-0918,BOOK-0918,151000,49000,1500,32500,234000,41000
COST-0924,BOOK-0924,57000,19500,1500,11500,89500,20500
COST-0926,BOOK-0926,27000,17500,2500,8000,55000,5000
COST-0928,BOOK-0928,36000,23500,2500,14500,76500,3500
COST-0937,BOOK-0937,40000,16500,1000,8000,65500,14500
COST-0938,BOOK-0938,94000,51500,0,36000,181500,13500
COST-0941,BOOK-0941,96000,36500,500,19500,152500,22500
COST-0942,BOOK-0942,39000,18000,0,8000,65000,5000
COST-0943,BOOK-0943,84000,32000,1000,23000,140000,35000
COST-0944,BOOK-0944,34000,16500,500,6500,57500,7500
COST-0947,BOOK-0947,113000,50500,0,32500,196000,54000
COST-0948,BOOK-0948,140000,52500,1500,29500,223500,56500
COST-0949,BOOK-0949,46000,20500,500,11500,78500,16500
COST-0950,BOOK-0950,93000,47500,1000,29500,171000,14000
COST-0951,BOOK-0951,20000,13000,1500,5000,39500,500
COST-0955,BOOK-0955,61000,36500,500,19500,117500,17500
COST-0957,BOOK-0957,18000,12000,1500,5000,36500,3500
COST-0963,BOOK-0963,50000,24500,2500,11500,88500,1500
COST-0968,BOOK-0968,144000,58000,0,39000,241000,79000
COST-0969,BOOK-0969,42000,19000,1500,8000,70500,9500
COST-0970,BOOK-0970,26000,13500,2500,6500,48500,1500
COST-0975,BOOK-0975,83000,33000,1500,19500,137000,28000
COST-0976,BOOK-0976,25000,18500,0,8000,51500,-1500
COST-0977,BOOK-0977,53000,24500,1000,14500,93000,17000
COST-0978,BOOK-0978,35000,15500,0,8000,58500,11500
COST-0982,BOOK-0982,19000,17000,1500,6500,44000,-4000
COST-0984,BOOK-0984,19000,17500,0,8000,44500,-4500
COST-0987,BOOK-0987,85000,43000,0,23000,151000,19000
COST-0990,BOOK-0990,165000,44000,2500,32500,244000,86000
COST-0992,BOOK-0992,55000,22500,2500,11500,91500,18500
COST-0993,BOOK-0993,150000,43500,1500,29500,224500,75500
COST-0996,BOOK-0996,96000,32500,2500,19500,150500,24500
COST-0999,BOOK-0999,20000,16500,2500,8000,47000,-2000
