reserva_id,solicitud_id,cliente_id,artista_id,fecha_reserva,fecha_agendada,horario_preferido,monto_final_clp,abono_clp,saldo_por_cobrar_clp,estado_pago
BOOK-0122,RES-0122,CLI-0122,ART-005,2026-06-05,2026-06-09,mediodia,60000,20000,40000,pagado
BOOK-0123,RES-0123,CLI-0123,ART-006,2026-05-15,2026-05-19,tarde,125000,35000,90000,pagado
BOOK-0126,RES-0126,CLI-0126,ART-005,2026-05-16,2026-05-19,mediodia,285000,60000,225000,pagado
BOOK-0127,RES-0127,CLI-0127,ART-004,2026-06-02,2026-06-05,tarde,245000,50000,195000,pagado
BOOK-0128,RES-0128,CLI-0128,ART-003,2026-05-31,2026-06-03,fin de semana,40000,15000,25000,pagado
BOOK-0131,RES-0131,CLI-0131,ART-001,2026-05-30,2026-06-02,manana,90000,30000,60000,pagado
BOOK-0132,RES-0132,CLI-0132,ART-003,2026-06-06,2026-06-09,tarde,40000,15000,25000,pagado
BOOK-0135,RES-0135,CLI-0135,ART-004,2026-06-17,2026-06-23,tarde,235000,50000,185000,pagado
BOOK-0139,RES-0139,CLI-0139,ART-005,2026-05-17,2026-05-20,mediodia,145000,40000,105000,pagado
BOOK-0142,RES-0142,CLI-0142,ART-001,2026-06-13,2026-06-16,tarde,55000,20000,35000,pagado
BOOK-0145,RES-0145,CLI-0145,ART-005,2026-05-15,2026-05-20,tarde,75000,25000,50000,pagado
BOOK-0146,RES-0146,CLI-0146,ART-006,2026-05-30,2026-06-02,mediodia,185000,50000,135000,pagado
BOOK-0147,RES-0147,CLI-0147,ART-003,2026-06-10,2026-06-13,tarde,85000,30000,55000,pagado
BOOK-0148,RES-0148,CLI-0148,ART-003,2026-05-17,2026-05-20,fin de semana,255000,55000,200000,abono recibido
BOOK-0149,RES-0149,CLI-0149,ART-004,2026-05-20,2026-05-23,tarde,50000,15000,35000,abono recibido
BOOK-0155,RES-0155,CLI-0155,ART-006,2026-05-24,2026-05-27,manana,145000,40000,105000,pagado
BOOK-0158,RES-0158,CLI-0158,ART-002,2026-06-18,2026-06-23,fin de semana,175000,50000,125000,pagado
BOOK-0159,RES-0159,CLI-0159,ART-002,2026-05-26,2026-05-29,tarde,90000,30000,60000,pagado
BOOK-0160,RES-0160,CLI-0160,ART-005,2026-05-24,2026-05-27,manana,210000,45000,165000,pagado
BOOK-0162,RES-0162,CLI-0162,ART-004,2026-06-10,2026-06-13,tarde,90000,30000,60000,pagado
BOOK-0164,RES-0164,CLI-0164,ART-005,2026-05-25,2026-05-28,tarde,45000,15000,30000,pagado
BOOK-0170,RES-0170,CLI-0170,ART-004,2026-05-29,2026-06-02,fin de semana,55000,20000,35000,pagado
BOOK-0171,RES-0171,CLI-0171,ART-004,2026-06-06,2026-06-09,tarde,165000,45000,120000,abono recibido
BOOK-0172,RES-0172,CLI-0172,ART-001,2026-06-13,2026-06-17,fin de semana,205000,55000,150000,pagado
BOOK-0173,RES-0173,CLI-0173,ART-006,2026-06-02,2026-06-05,mediodia,145000,40000,105000,pagado
BOOK-0174,RES-0174,CLI-0174,ART-006,2026-05-29,2026-06-03,fin de semana,190000,55000,135000,abono recibido
BOOK-0175,RES-0175,CLI-0175,ART-002,2026-05-22,2026-05-26,manana,95000,25000,70000,pagado
BOOK-0178,RES-0178,CLI-0178,ART-002,2026-05-19,2026-05-22,tarde,230000,50000,180000,pagado
BOOK-0179,RES-0179,CLI-0179,ART-006,2026-06-05,2026-06-09,manana,475000,95000,380000,pagado
BOOK-0181,RES-0181,CLI-0181,ART-004,2026-06-02,2026-06-05,tarde,75000,30000,45000,pagado
BOOK-0186,RES-0186,CLI-0186,ART-003,2026-06-14,2026-06-17,tarde,40000,15000,25000,abono recibido
BOOK-0187,RES-0187,CLI-0078,ART-004,2026-06-02,2026-06-10,fin de semana,350000,75000,275000,pagado
BOOK-0190,RES-0190,CLI-0189,ART-006,2026-05-20,2026-05-23,manana,240000,55000,185000,pagado
BOOK-0195,RES-0195,CLI-0194,ART-002,2026-05-14,2026-05-19,fin de semana,145000,40000,105000,abono recibido
BOOK-0196,RES-0196,CLI-0195,ART-002,2026-06-12,2026-06-16,manana,40000,15000,25000,pagado
BOOK-0199,RES-0199,CLI-0198,ART-006,2026-05-26,2026-05-29,manana,130000,40000,90000,pagado
BOOK-0200,RES-0200,CLI-0199,ART-001,2026-06-03,2026-06-06,tarde,85000,30000,55000,pagado
BOOK-0202,RES-0202,CLI-0201,ART-004,2026-06-12,2026-06-16,manana,115000,30000,85000,pagado
BOOK-0207,RES-0207,CLI-0206,ART-003,2026-06-16,2026-06-19,manana,80000,30000,50000,pagado
BOOK-0209,RES-0209,CLI-0208,ART-002,2026-05-23,2026-05-26,manana,100000,25000,75000,abono recibido
BOOK-0215,RES-0215,CLI-0214,ART-004,2026-05-15,2026-05-19,mediodia,40000,15000,25000,pagado
BOOK-0217,RES-0217,CLI-0216,ART-004,2026-06-12,2026-06-16,tarde,60000,20000,40000,abono recibido
BOOK-0218,RES-0218,CLI-0217,ART-001,2026-05-18,2026-05-21,manana,280000,55000,225000,pagado
BOOK-0219,RES-0219,CLI-0218,ART-002,2026-06-10,2026-06-13,manana,160000,40000,120000,pagado
BOOK-0224,RES-0224,CLI-0223,ART-002,2026-05-19,2026-05-22,tarde,180000,50000,130000,pagado
BOOK-0227,RES-0227,CLI-0226,ART-005,2026-05-26,2026-05-29,fin de semana,105000,30000,75000,abono recibido
BOOK-0232,RES-0232,CLI-0231,ART-006,2026-05-29,2026-06-02,mediodia,175000,50000,125000,pagado
BOOK-0233,RES-0233,CLI-0232,ART-003,2026-06-17,2026-06-20,fin de semana,85000,30000,55000,pagado
BOOK-0237,RES-0237,CLI-0236,ART-003,2026-06-16,2026-06-24,fin de semana,230000,50000,180000,pagado
BOOK-0239,RES-0239,CLI-0238,ART-002,2026-05-22,2026-05-26,tarde,75000,25000,50000,pagado
BOOK-0240,RES-0240,CLI-0239,ART-003,2026-05-31,2026-06-03,tarde,90000,25000,65000,pagado
BOOK-0242,RES-0242,CLI-0241,ART-006,2026-05-27,2026-05-30,tarde,280000,55000,225000,pagado
BOOK-0245,RES-0245,CLI-0244,ART-006,2026-06-18,2026-06-23,tarde,270000,55000,215000,abono recibido
BOOK-0249,RES-0249,CLI-0248,ART-006,2026-05-20,2026-05-26,fin de semana,320000,75000,245000,pagado
BOOK-0250,RES-0250,CLI-0249,ART-001,2026-06-03,2026-06-09,manana,265000,55000,210000,pagado
BOOK-0251,RES-0251,CLI-0250,ART-002,2026-05-17,2026-05-20,tarde,165000,50000,115000,pagado
BOOK-0257,RES-0257,CLI-0256,ART-002,2026-05-18,2026-05-21,mediodia,70000,25000,45000,pagado
BOOK-0258,RES-0258,CLI-0257,ART-002,2026-06-04,2026-06-10,manana,60000,20000,40000,abono recibido
BOOK-0259,RES-0259,CLI-0258,ART-003,2026-06-19,2026-06-25,tarde,175000,50000,125000,pagado
BOOK-0260,RES-0260,CLI-0259,ART-006,2026-06-10,2026-06-13,fin de semana,65000,20000,45000,pagado
BOOK-0261,RES-0261,CLI-0260,ART-005,2026-06-02,2026-06-05,tarde,115000,30000,85000,abono recibido
BOOK-0262,RES-0262,CLI-0261,ART-001,2026-05-26,2026-05-29,manana,40000,15000,25000,pagado
BOOK-0263,RES-0263,CLI-0262,ART-001,2026-05-13,2026-05-16,manana,90000,30000,60000,pagado
BOOK-0266,RES-0266,CLI-0264,ART-004,2026-05-13,2026-05-16,mediodia,170000,50000,120000,pagado
BOOK-0268,RES-0268,CLI-0266,ART-004,2026-06-05,2026-06-09,mediodia,70000,25000,45000,pagado
BOOK-0269,RES-0269,CLI-0267,ART-001,2026-06-12,2026-06-16,mediodia,90000,30000,60000,pagado
BOOK-0270,RES-0270,CLI-0268,ART-003,2026-06-14,2026-06-17,mediodia,85000,30000,55000,pagado
BOOK-0273,RES-0273,CLI-0271,ART-002,2026-06-06,2026-06-10,mediodia,50000,20000,30000,pagado
BOOK-0275,RES-0275,CLI-0273,ART-003,2026-05-21,2026-05-26,fin de semana,315000,65000,250000,pagado
BOOK-0276,RES-0276,CLI-0274,ART-006,2026-06-04,2026-06-10,mediodia,185000,50000,135000,pagado
BOOK-0279,RES-0279,CLI-0277,ART-001,2026-06-07,2026-06-10,tarde,45000,15000,30000,pagado
BOOK-0281,RES-0281,CLI-0279,ART-001,2026-05-20,2026-05-27,fin de semana,205000,45000,160000,pagado
BOOK-0282,RES-0282,CLI-0280,ART-006,2026-05-28,2026-06-04,mediodia,225000,50000,175000,pagado
BOOK-0286,RES-0286,CLI-0284,ART-002,2026-05-26,2026-05-30,fin de semana,190000,50000,140000,pagado
BOOK-0287,RES-0287,CLI-0285,ART-003,2026-06-06,2026-06-10,tarde,115000,30000,85000,abono recibido
BOOK-0288,RES-0288,CLI-0286,ART-001,2026-06-15,2026-06-18,tarde,195000,50000,145000,pagado
BOOK-0289,RES-0289,CLI-0287,ART-003,2026-06-02,2026-06-05,tarde,90000,30000,60000,pagado
BOOK-0290,RES-0290,CLI-0288,ART-006,2026-05-28,2026-06-05,manana,270000,60000,210000,pagado
BOOK-0296,RES-0296,CLI-0294,ART-002,2026-06-15,2026-06-18,tarde,440000,90000,350000,pagado
BOOK-0300,RES-0300,CLI-0298,ART-004,2026-05-31,2026-06-03,fin de semana,85000,30000,55000,pagado
BOOK-0301,RES-0301,CLI-0299,ART-002,2026-05-21,2026-05-27,tarde,130000,35000,95000,pagado
BOOK-0316,RES-0316,CLI-0314,ART-001,2026-05-22,2026-05-26,manana,40000,15000,25000,pagado
BOOK-0318,RES-0318,CLI-0316,ART-002,2026-05-24,2026-05-28,mediodia,340000,75000,265000,pagado
BOOK-0319,RES-0319,CLI-0317,ART-003,2026-06-15,2026-06-18,fin de semana,90000,30000,60000,pagado
BOOK-0324,RES-0324,CLI-0322,ART-003,2026-05-27,2026-05-30,tarde,235000,50000,185000,abono recibido
BOOK-0327,RES-0327,CLI-0325,ART-003,2026-06-17,2026-06-26,manana,180000,50000,130000,pagado
BOOK-0330,RES-0330,CLI-0328,ART-001,2026-06-07,2026-06-11,tarde,130000,35000,95000,pagado
BOOK-0331,RES-0331,CLI-0329,ART-005,2026-05-28,2026-06-02,tarde,85000,30000,55000,pagado
BOOK-0335,RES-0335,CLI-0332,ART-001,2026-05-20,2026-05-28,tarde,125000,35000,90000,pagado
BOOK-0337,RES-0337,CLI-0334,ART-003,2026-06-14,2026-06-27,tarde,270000,55000,215000,pagado
BOOK-0339,RES-0339,CLI-0336,ART-004,2026-06-03,2026-06-11,tarde,280000,55000,225000,pagado
BOOK-0340,RES-0340,CLI-0337,ART-002,2026-05-21,2026-06-02,mediodia,315000,70000,245000,pagado
BOOK-0344,RES-0344,CLI-0341,ART-006,2026-06-14,2026-06-17,fin de semana,110000,30000,80000,pagado
BOOK-0345,RES-0345,CLI-0342,ART-004,2026-06-10,2026-06-13,mediodia,40000,15000,25000,abono recibido
BOOK-0354,RES-0354,CLI-0349,ART-001,2026-06-09,2026-06-12,manana,90000,30000,60000,pagado
BOOK-0355,RES-0355,CLI-0350,ART-003,2026-05-22,2026-05-27,tarde,220000,50000,170000,pagado
BOOK-0356,RES-0356,CLI-0351,ART-003,2026-05-15,2026-05-19,fin de semana,90000,30000,60000,abono recibido
BOOK-0362,RES-0362,CLI-0357,ART-002,2026-05-30,2026-06-03,fin de semana,180000,50000,130000,pagado
BOOK-0365,RES-0365,CLI-0360,ART-004,2026-06-02,2026-06-05,tarde,40000,15000,25000,pagado
BOOK-0369,RES-0369,CLI-0364,ART-002,2026-06-17,2026-06-20,tarde,135000,35000,100000,pagado
BOOK-0375,RES-0375,CLI-0370,ART-003,2026-06-08,2026-06-11,tarde,45000,15000,30000,pagado
BOOK-0380,RES-0380,CLI-0374,ART-004,2026-06-05,2026-06-12,manana,280000,55000,225000,pagado
BOOK-0382,RES-0382,CLI-0376,ART-001,2026-05-14,2026-05-19,tarde,90000,30000,60000,pagado
BOOK-0383,RES-0383,CLI-0377,ART-002,2026-06-08,2026-06-11,mediodia,225000,50000,175000,pagado
BOOK-0385,RES-0385,CLI-0379,ART-005,2026-05-26,2026-05-29,tarde,70000,25000,45000,pagado
BOOK-0386,RES-0386,CLI-0169,ART-004,2026-05-26,2026-05-29,mediodia,40000,15000,25000,abono recibido
BOOK-0389,RES-0389,CLI-0382,ART-004,2026-06-16,2026-06-19,manana,190000,50000,140000,pagado
BOOK-0390,RES-0390,CLI-0383,ART-004,2026-06-06,2026-06-17,tarde,310000,65000,245000,pagado
BOOK-0392,RES-0392,CLI-0384,ART-001,2026-05-28,2026-06-02,tarde,50000,20000,30000,abono recibido
BOOK-0401,RES-0401,CLI-0393,ART-003,2026-06-19,2026-06-23,tarde,95000,25000,70000,abono recibido
BOOK-0402,RES-0402,CLI-0394,ART-003,2026-05-31,2026-06-04,fin de semana,40000,15000,25000,pagado
BOOK-0403,RES-0403,CLI-0395,ART-001,2026-06-09,2026-06-12,mediodia,90000,30000,60000,pagado
BOOK-0404,RES-0404,CLI-0396,ART-004,2026-06-16,2026-06-20,fin de semana,220000,50000,170000,pagado
BOOK-0410,RES-0410,CLI-0401,ART-002,2026-05-22,2026-05-29,tarde,155000,45000,110000,pagado
BOOK-0414,RES-0414,CLI-0405,ART-006,2026-06-05,2026-06-09,manana,50000,20000,30000,pagado
BOOK-0416,RES-0416,CLI-0407,ART-004,2026-05-17,2026-05-20,manana,70000,25000,45000,pagado
BOOK-0417,RES-0417,CLI-0408,ART-001,2026-06-13,2026-06-16,mediodia,100000,25000,75000,pagado
BOOK-0421,RES-0421,CLI-0412,ART-002,2026-06-17,2026-06-20,manana,55000,20000,35000,pagado
BOOK-0422,RES-0422,CLI-0413,ART-004,2026-06-07,2026-06-18,fin de semana,345000,75000,270000,pagado
BOOK-0423,RES-0423,CLI-0414,ART-004,2026-05-24,2026-05-27,fin de semana,80000,30000,50000,pagado
BOOK-0425,RES-0425,CLI-0416,ART-006,2026-05-14,2026-05-19,fin de semana,270000,60000,210000,pagado
BOOK-0426,RES-0426,CLI-0417,ART-004,2026-05-15,2026-05-19,tarde,135000,35000,100000,abono recibido
BOOK-0427,RES-0427,CLI-0418,ART-002,2026-05-20,2026-05-23,mediodia,130000,35000,95000,pagado
BOOK-0429,RES-0429,CLI-0420,ART-002,2026-06-04,2026-06-10,manana,45000,15000,30000,pagado
BOOK-0430,RES-0430,CLI-0421,ART-006,2026-06-17,2026-06-20,manana,85000,30000,55000,pagado
BOOK-0432,RES-0432,CLI-0423,ART-006,2026-05-17,2026-05-21,fin de semana,115000,30000,85000,abono recibido
BOOK-0433,RES-0433,CLI-0424,ART-002,2026-05-27,2026-05-30,mediodia,70000,25000,45000,pagado
BOOK-0436,RES-0436,CLI-0427,ART-004,2026-05-27,2026-05-30,tarde,185000,50000,135000,pagado
BOOK-0439,RES-0439,CLI-0430,ART-001,2026-06-01,2026-06-04,fin de semana,85000,30000,55000,pagado
BOOK-0441,RES-0441,CLI-0432,ART-002,2026-06-05,2026-06-10,manana,80000,25000,55000,pagado
BOOK-0443,RES-0443,CLI-0434,ART-005,2026-06-07,2026-06-10,mediodia,280000,60000,220000,pagado
BOOK-0444,RES-0444,CLI-0435,ART-006,2026-06-09,2026-06-12,mediodia,180000,50000,130000,pagado
BOOK-0446,RES-0446,CLI-0437,ART-003,2026-06-02,2026-06-06,tarde,190000,50000,140000,pagado
BOOK-0448,RES-0448,CLI-0439,ART-002,2026-06-03,2026-06-06,mediodia,285000,65000,220000,pagado
BOOK-0450,RES-0450,CLI-0441,ART-001,2026-05-22,2026-05-28,fin de semana,85000,30000,55000,pagado
BOOK-0454,RES-0454,CLI-0445,ART-003,2026-06-07,2026-06-10,tarde,40000,15000,25000,abono recibido
BOOK-0457,RES-0457,CLI-0448,ART-003,2026-06-15,2026-06-30,tarde,230000,50000,180000,pagado
BOOK-0458,RES-0458,CLI-0449,ART-003,2026-06-19,2026-07-01,tarde,190000,50000,140000,pagado
BOOK-0460,RES-0460,CLI-0451,ART-006,2026-06-17,2026-06-24,mediodia,260000,55000,205000,pagado
BOOK-0461,RES-0461,CLI-0452,ART-001,2026-05-17,2026-05-20,fin de semana,180000,55000,125000,pagado
BOOK-0462,RES-0462,CLI-0453,ART-003,2026-05-15,2026-05-19,manana,80000,25000,55000,pagado
BOOK-0463,RES-0463,CLI-0454,ART-003,2026-05-25,2026-05-28,tarde,175000,50000,125000,pagado
BOOK-0464,RES-0464,CLI-0455,ART-001,2026-05-22,2026-05-29,tarde,160000,45000,115000,pagado
BOOK-0467,RES-0467,CLI-0458,ART-004,2026-05-23,2026-05-26,manana,50000,20000,30000,pagado
BOOK-0474,RES-0474,CLI-0465,ART-003,2026-06-12,2026-06-16,manana,40000,15000,25000,abono recibido
BOOK-0475,RES-0475,CLI-0466,ART-004,2026-05-19,2026-05-22,mediodia,300000,60000,240000,pagado
BOOK-0476,RES-0476,CLI-0467,ART-003,2026-05-16,2026-05-21,mediodia,180000,50000,130000,pagado
BOOK-0480,RES-0480,CLI-0471,ART-001,2026-05-18,2026-05-21,manana,45000,15000,30000,pagado
BOOK-0481,RES-0481,CLI-0472,ART-003,2026-06-13,2026-06-16,tarde,190000,50000,140000,pagado
BOOK-0482,RES-0482,CLI-0473,ART-002,2026-06-16,2026-06-19,manana,85000,25000,60000,pagado
BOOK-0483,RES-0483,CLI-0474,ART-002,2026-06-02,2026-06-05,tarde,175000,50000,125000,pagado
BOOK-0491,RES-0491,CLI-0481,ART-006,2026-05-27,2026-06-06,tarde,180000,50000,130000,pagado
BOOK-0496,RES-0496,CLI-0485,ART-004,2026-05-20,2026-05-28,tarde,290000,65000,225000,pagado
BOOK-0499,RES-0499,CLI-0488,ART-001,2026-05-29,2026-06-03,tarde,255000,55000,200000,pagado
BOOK-0500,RES-0500,CLI-0489,ART-001,2026-06-08,2026-06-11,fin de semana,130000,35000,95000,pagado
BOOK-0506,RES-0506,CLI-0494,ART-001,2026-05-13,2026-05-16,tarde,50000,20000,30000,pagado
BOOK-0507,RES-0507,CLI-0495,ART-006,2026-05-17,2026-05-22,fin de semana,120000,30000,90000,pagado
BOOK-0508,RES-0508,CLI-0496,ART-004,2026-06-12,2026-06-19,mediodia,165000,50000,115000,pagado
BOOK-0509,RES-0509,CLI-0497,ART-004,2026-05-21,2026-05-26,tarde,40000,15000,25000,pagado
BOOK-0512,RES-0512,CLI-0500,ART-005,2026-05-22,2026-05-26,mediodia,295000,60000,235000,pagado
BOOK-0516,RES-0516,CLI-0504,ART-002,2026-06-16,2026-06-19,tarde,150000,40000,110000,pagado
BOOK-0519,RES-0519,CLI-0506,ART-004,2026-06-19,2026-06-24,fin de semana,310000,70000,240000,pagado
BOOK-0522,RES-0522,CLI-0509,ART-005,2026-05-19,2026-05-22,tarde,65000,25000,40000,pagado
BOOK-0524,RES-0524,CLI-0511,ART-001,2026-05-17,2026-05-22,tarde,185000,50000,135000,pagado
BOOK-0526,RES-0526,CLI-0513,ART-006,2026-05-20,2026-05-27,tarde,320000,65000,255000,pagado
BOOK-0527,RES-0527,CLI-0514,ART-004,2026-05-29,2026-06-02,tarde,40000,15000,25000,pagado
BOOK-0529,RES-0529,CLI-0515,ART-004,2026-06-05,2026-06-09,tarde,55000,20000,35000,pagado
BOOK-0530,RES-0530,CLI-0516,ART-005,2026-06-13,2026-06-16,tarde,185000,50000,135000,pagado
BOOK-0533,RES-0533,CLI-0519,ART-006,2026-05-30,2026-06-03,tarde,80000,30000,50000,pagado
BOOK-0534,RES-0534,CLI-0520,ART-004,2026-06-05,2026-06-13,fin de semana,165000,45000,120000,pagado
BOOK-0535,RES-0535,CLI-0521,ART-005,2026-06-16,2026-06-19,tarde,95000,25000,70000,abono recibido
BOOK-0537,RES-0537,CLI-0523,ART-006,2026-06-08,2026-06-11,tarde,125000,35000,90000,pagado
BOOK-0541,RES-0541,CLI-0527,ART-005,2026-05-14,2026-05-21,fin de semana,110000,30000,80000,pagado
BOOK-0544,RES-0544,CLI-0530,ART-001,2026-06-04,2026-06-13,fin de semana,190000,50000,140000,pagado
BOOK-0545,RES-0545,CLI-0531,ART-001,2026-05-22,2026-05-30,fin de semana,135000,40000,95000,pagado
BOOK-0547,RES-0547,CLI-0533,ART-005,2026-05-21,2026-05-27,fin de semana,40000,15000,25000,pagado
BOOK-0548,RES-0548,CLI-0534,ART-002,2026-06-09,2026-06-12,fin de semana,325000,70000,255000,pagado
BOOK-0549,RES-0549,CLI-0060,ART-006,2026-06-02,2026-06-05,manana,60000,20000,40000,abono recibido
BOOK-0551,RES-0551,CLI-0536,ART-006,2026-05-29,2026-06-06,fin de semana,175000,50000,125000,pagado
BOOK-0552,RES-0552,CLI-0537,ART-001,2026-05-26,2026-05-29,mediodia,85000,30000,55000,pagado
BOOK-0560,RES-0560,CLI-0544,ART-004,2026-06-18,2026-06-25,tarde,395000,85000,310000,pagado
BOOK-0564,RES-0564,CLI-0548,ART-002,2026-06-10,2026-06-13,fin de semana,135000,40000,95000,pagado
BOOK-0566,RES-0566,CLI-0550,ART-005,2026-06-04,2026-06-11,mediodia,185000,50000,135000,abono recibido
BOOK-0571,RES-0571,CLI-0555,ART-006,2026-05-17,2026-05-20,tarde,60000,20000,40000,pagado
BOOK-0572,RES-0572,CLI-0475,ART-002,2026-05-31,2026-06-04,fin de semana,305000,65000,240000,pagado
BOOK-0573,RES-0573,CLI-0556,ART-005,2026-05-19,2026-05-22,tarde,40000,15000,25000,pagado
BOOK-0574,RES-0574,CLI-0557,ART-004,2026-06-03,2026-06-06,manana,115000,30000,85000,pagado
BOOK-0578,RES-0578,CLI-0561,ART-001,2026-06-07,2026-06-19,mediodia,195000,50000,145000,pagado
BOOK-0581,RES-0581,CLI-0564,ART-004,2026-06-09,2026-06-12,tarde,65000,20000,45000,pagado
BOOK-0585,RES-0585,CLI-0568,ART-006,2026-05-27,2026-05-30,tarde,115000,35000,80000,pagado
BOOK-0587,RES-0587,CLI-0570,ART-005,2026-05-21,2026-05-27,fin de semana,40000,15000,25000,pagado
BOOK-0588,RES-0588,CLI-0571,ART-005,2026-06-08,2026-06-12,tarde,170000,50000,120000,pagado
BOOK-0590,RES-0590,CLI-0573,ART-001,2026-06-10,2026-06-20,fin de semana,275000,55000,220000,abono recibido
BOOK-0592,RES-0592,CLI-0575,ART-004,2026-06-18,2026-06-23,manana,40000,15000,25000,pagado
BOOK-0599,RES-0599,CLI-0581,ART-006,2026-06-14,2026-06-17,tarde,205000,55000,150000,abono recibido
BOOK-0602,RES-0602,CLI-0584,ART-006,2026-06-13,2026-06-16,fin de semana,100000,25000,75000,pagado
BOOK-0603,RES-0603,CLI-0585,ART-006,2026-05-13,2026-05-16,manana,115000,30000,85000,pagado
BOOK-0608,RES-0608,CLI-0590,ART-004,2026-05-23,2026-05-27,tarde,190000,45000,145000,pagado
BOOK-0609,RES-0609,CLI-0591,ART-003,2026-06-16,2026-06-19,manana,95000,30000,65000,pagado
BOOK-0613,RES-0613,CLI-0595,ART-002,2026-06-06,2026-06-10,fin de semana,45000,15000,30000,pagado
BOOK-0615,RES-0615,CLI-0597,ART-005,2026-06-15,2026-06-18,tarde,85000,30000,55000,pagado
BOOK-0616,RES-0616,CLI-0598,ART-002,2026-06-17,2026-06-24,manana,280000,65000,215000,pagado
BOOK-0618,RES-0618,CLI-0010,ART-003,2026-05-27,2026-06-02,mediodia,45000,15000,30000,pagado
