pago_id,reserva_id,fecha_pago,monto_clp,tipo_pago,metodo_pago
PAY-0380,BOOK-0380,2026-06-05,55000,abono,credito
PAY-0380-SALDO,BOOK-0380,2026-06-12,225000,saldo final,credito
PAY-0382,BOOK-0382,2026-05-14,30000,abono,debito
PAY-0382-SALDO,BOOK-0382,2026-05-19,60000,saldo final,debito
PAY-0383,BOOK-0383,2026-06-08,50000,abono,debito
PAY-0383-SALDO,BOOK-0383,2026-06-11,175000,saldo final,debito
PAY-0385,BOOK-0385,2026-05-26,25000,abono,efectivo
PAY-0385-SALDO,BOOK-0385,2026-05-29,45000,saldo final,efectivo
PAY-0386,BOOK-0386,2026-05-26,15000,abono,efectivo
PAY-0389,BOOK-0389,2026-06-16,50000,abono,efectivo
PAY-0389-SALDO,BOOK-0389,2026-06-19,140000,saldo final,efectivo
PAY-0390,BOOK-0390,2026-06-06,65000,abono,transferencia
PAY-0390-SALDO,BOOK-0390,2026-06-17,245000,saldo final,transferencia
PAY-0392,BOOK-0392,2026-05-28,20000,abono,transferencia
PAY-0401,BOOK-0401,2026-06-19,25000,abono,transferencia
PAY-0402,BOOK-0402,2026-05-31,15000,abono,efectivo
PAY-0402-SALDO,BOOK-0402,2026-06-04,25000,saldo final,efectivo
PAY-0403,BOOK-0403,2026-06-09,30000,abono,transferencia
PAY-0403-SALDO,BOOK-0403,2026-06-12,60000,saldo final,transferencia
PAY-0404,BOOK-0404,2026-06-16,50000,abono,efectivo
PAY-0404-SALDO,BOOK-0404,2026-06-20,170000,saldo final,efectivo
PAY-0410,BOOK-0410,2026-05-22,45000,abono,efectivo
PAY-0410-SALDO,BOOK-0410,2026-05-29,110000,saldo final,efectivo
PAY-0414,BOOK-0414,2026-06-05,20000,abono,transferencia
PAY-0414-SALDO,BOOK-0414,2026-06-09,30000,saldo final,transferencia
PAY-0416,BOOK-0416,2026-05-17,25000,abono,efectivo
PAY-0416-SALDO,BOOK-0416,2026-05-20,45000,saldo final,efectivo
PAY-0417,BOOK-0417,2026-06-13,25000,abono,debito
PAY-0417-SALDO,BOOK-0417,2026-06-16,75000,saldo final,debito
PAY-0421,BOOK-0421,2026-06-17,20000,abono,efectivo
PAY-0421-SALDO,BOOK-0421,2026-06-20,35000,saldo final,efectivo
PAY-0422,BOOK-0422,2026-06-07,75000,abono,credito
PAY-0422-SALDO,BOOK-0422,2026-06-18,270000,saldo final,credito
PAY-0423,BOOK-0423,2026-05-24,30000,abono,debito
PAY-0423-SALDO,BOOK-0423,2026-05-27,50000,saldo final,debito
PAY-0425,BOOK-0425,2026-05-14,60000,abono,efectivo
PAY-0425-SALDO,BOOK-0425,2026-05-19,210000,saldo final,efectivo
PAY-0426,BOOK-0426,2026-05-15,35000,abono,transferencia
PAY-0427,BOOK-0427,2026-05-20,35000,abono,debito
PAY-0427-SALDO,BOOK-0427,2026-05-23,95000,saldo final,debito
PAY-0429,BOOK-0429,2026-06-04,15000,abono,credito
PAY-0429-SALDO,BOOK-0429,2026-06-10,30000,saldo final,credito
PAY-0430,BOOK-0430,2026-06-17,30000,abono,debito
PAY-0430-SALDO,BOOK-0430,2026-06-20,55000,saldo final,debito
PAY-0432,BOOK-0432,2026-05-17,30000,abono,transferencia
PAY-0433,BOOK-0433,2026-05-27,25000,abono,credito
PAY-0433-SALDO,BOOK-0433,2026-05-30,45000,saldo final,credito
PAY-0436,BOOK-0436,2026-05-27,50000,abono,debito
PAY-0436-SALDO,BOOK-0436,2026-05-30,135000,saldo final,debito
PAY-0439,BOOK-0439,2026-06-01,30000,abono,debito
PAY-0439-SALDO,BOOK-0439,2026-06-04,55000,saldo final,debito
PAY-0441,BOOK-0441,2026-06-05,25000,abono,credito
PAY-0441-SALDO,BOOK-0441,2026-06-10,55000,saldo final,credito
PAY-0443,BOOK-0443,2026-06-07,60000,abono,credito
PAY-0443-SALDO,BOOK-0443,2026-06-10,220000,saldo final,credito
PAY-0444,BOOK-0444,2026-06-09,50000,abono,debito
PAY-0444-SALDO,BOOK-0444,2026-06-12,130000,saldo final,debito
PAY-0446,BOOK-0446,2026-06-02,50000,abono,credito
PAY-0446-SALDO,BOOK-0446,2026-06-06,140000,saldo final,credito
PAY-0448,BOOK-0448,2026-06-03,65000,abono,credito
PAY-0448-SALDO,BOOK-0448,2026-06-06,220000,saldo final,credito
PAY-0450,BOOK-0450,2026-05-22,30000,abono,efectivo
PAY-0450-SALDO,BOOK-0450,2026-05-28,55000,saldo final,efectivo
PAY-0454,BOOK-0454,2026-06-07,15000,abono,debito
PAY-0457,BOOK-0457,2026-06-15,50000,abono,debito
PAY-0457-SALDO,BOOK-0457,2026-06-30,180000,saldo final,debito
PAY-0458,BOOK-0458,2026-06-19,50000,abono,debito
PAY-0458-SALDO,BOOK-0458,2026-07-01,140000,saldo final,debito
PAY-0460,BOOK-0460,2026-06-17,55000,abono,efectivo
PAY-0460-SALDO,BOOK-0460,2026-06-24,205000,saldo final,efectivo
PAY-0461,BOOK-0461,2026-05-17,55000,abono,credito
PAY-0461-SALDO,BOOK-0461,2026-05-20,125000,saldo final,credito
PAY-0462,BOOK-0462,2026-05-15,25000,abono,efectivo
PAY-0462-SALDO,BOOK-0462,2026-05-19,55000,saldo final,efectivo
PAY-0463,BOOK-0463,2026-05-25,50000,abono,credito
PAY-0463-SALDO,BOOK-0463,2026-05-28,125000,saldo final,credito
PAY-0464,BOOK-0464,2026-05-22,45000,abono,credito
PAY-0464-SALDO,BOOK-0464,2026-05-29,115000,saldo final,credito
PAY-0467,BOOK-0467,2026-05-23,20000,abono,credito
PAY-0467-SALDO,BOOK-0467,2026-05-26,30000,saldo final,credito
PAY-0474,BOOK-0474,2026-06-12,15000,abono,transferencia
PAY-0475,BOOK-0475,2026-05-19,60000,abono,debito
PAY-0475-SALDO,BOOK-0475,2026-05-22,240000,saldo final,debito
PAY-0476,BOOK-0476,2026-05-16,50000,abono,efectivo
PAY-0476-SALDO,BOOK-0476,2026-05-21,130000,saldo final,efectivo
PAY-0480,BOOK-0480,2026-05-18,15000,abono,credito
PAY-0480-SALDO,BOOK-0480,2026-05-21,30000,saldo final,credito
PAY-0481,BOOK-0481,2026-06-13,50000,abono,debito
PAY-0481-SALDO,BOOK-0481,2026-06-16,140000,saldo final,debito
PAY-0482,BOOK-0482,2026-06-16,25000,abono,transferencia
PAY-0482-SALDO,BOOK-0482,2026-06-19,60000,saldo final,transferencia
PAY-0483,BOOK-0483,2026-06-02,50000,abono,transferencia
PAY-0483-SALDO,BOOK-0483,2026-06-05,125000,saldo final,transferencia
PAY-0491,BOOK-0491,2026-05-27,50000,abono,credito
PAY-0491-SALDO,BOOK-0491,2026-06-06,130000,saldo final,credito
PAY-0496,BOOK-0496,2026-05-20,65000,abono,transferencia
PAY-0496-SALDO,BOOK-0496,2026-05-28,225000,saldo final,transferencia
PAY-0499,BOOK-0499,2026-05-29,55000,abono,debito
PAY-0499-SALDO,BOOK-0499,2026-06-03,200000,saldo final,debito
PAY-0500,BOOK-0500,2026-06-08,35000,abono,efectivo
PAY-0500-SALDO,BOOK-0500,2026-06-11,95000,saldo final,efectivo
PAY-0506,BOOK-0506,2026-05-13,20000,abono,credito
PAY-0506-SALDO,BOOK-0506,2026-05-16,30000,saldo final,credito
PAY-0507,BOOK-0507,2026-05-17,30000,abono,efectivo
PAY-0507-SALDO,BOOK-0507,2026-05-22,90000,saldo final,efectivo
PAY-0508,BOOK-0508,2026-06-12,50000,abono,credito
PAY-0508-SALDO,BOOK-0508,2026-06-19,115000,saldo final,credito
PAY-0509,BOOK-0509,2026-05-21,15000,abono,credito
PAY-0509-SALDO,BOOK-0509,2026-05-26,25000,saldo final,credito
PAY-0512,BOOK-0512,2026-05-22,60000,abono,transferencia
PAY-0512-SALDO,BOOK-0512,2026-05-26,235000,saldo final,transferencia
PAY-0516,BOOK-0516,2026-06-16,40000,abono,debito
PAY-0516-SALDO,BOOK-0516,2026-06-19,110000,saldo final,debito
PAY-0519,BOOK-0519,2026-06-19,70000,abono,debito
PAY-0519-SALDO,BOOK-0519,2026-06-24,240000,saldo final,debito
PAY-0522,BOOK-0522,2026-05-19,25000,abono,efectivo
PAY-0522-SALDO,BOOK-0522,2026-05-22,40000,saldo final,efectivo
PAY-0524,BOOK-0524,2026-05-17,50000,abono,efectivo
PAY-0524-SALDO,BOOK-0524,2026-05-22,135000,saldo final,efectivo
PAY-0526,BOOK-0526,2026-05-20,65000,abono,efectivo
PAY-0526-SALDO,BOOK-0526,2026-05-27,255000,saldo final,efectivo
PAY-0527,BOOK-0527,2026-05-29,15000,abono,efectivo
PAY-0527-SALDO,BOOK-0527,2026-06-02,25000,saldo final,efectivo
PAY-0529,BOOK-0529,2026-06-05,20000,abono,credito
PAY-0529-SALDO,BOOK-0529,2026-06-09,35000,saldo final,credito
PAY-0530,BOOK-0530,2026-06-13,50000,abono,debito
PAY-0530-SALDO,BOOK-0530,2026-06-16,135000,saldo final,debito
PAY-0533,BOOK-0533,2026-05-30,30000,abono,efectivo
PAY-0533-SALDO,BOOK-0533,2026-06-03,50000,saldo final,efectivo
PAY-0534,BOOK-0534,2026-06-05,45000,abono,credito
PAY-0534-SALDO,BOOK-0534,2026-06-13,120000,saldo final,credito
PAY-0535,BOOK-0535,2026-06-16,25000,abono,transferencia
PAY-0537,BOOK-0537,2026-06-08,35000,abono,transferencia
PAY-0537-SALDO,BOOK-0537,2026-06-11,90000,saldo final,transferencia
PAY-0541,BOOK-0541,2026-05-14,30000,abono,transferencia
PAY-0541-SALDO,BOOK-0541,2026-05-21,80000,saldo final,transferencia
PAY-0544,BOOK-0544,2026-06-04,50000,abono,transferencia
PAY-0544-SALDO,BOOK-0544,2026-06-13,140000,saldo final,transferencia
PAY-0545,BOOK-0545,2026-05-22,40000,abono,debito
PAY-0545-SALDO,BOOK-0545,2026-05-30,95000,saldo final,debito
PAY-0547,BOOK-0547,2026-05-21,15000,abono,transferencia
PAY-0547-SALDO,BOOK-0547,2026-05-27,25000,saldo final,transferencia
